Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
1.5,0,0.593331,0.227373,0.778747,0.000182205,0.0843174,0.0223083
1.55,0,0.811904,0.360862,0.775872,5.90413e-05,0.105111,0.0190496
1.6,0,0.422228,0.349913,0.764139,0.000368874,0.0514571,0.0543911
1.65,0,0.794218,0.300531,0.746264,0.000376784,0.12172,0.0479491
1.7,0,1.32023,0.155453,0.7306,0.000165466,0.167065,0.00919007
1.75,0,0.997751,0.193805,0.73149,0.000262663,0.15491,0.0372839
1.8,0,0.817296,0.196803,0.705145,0.000232893,0.165616,0.0343942
1.85,0,1.4628,0.259474,0.644234,0.000199417,0.359514,0.0160222
1.9,0,0.790294,0.224559,0.673975,0.000416846,0.158167,0.046996
1.95,0,1.23738,0.2411,0.636583,0.000143407,0.283099,0.0176385
2,0,3.15734,0.283364,0.563997,0.000632709,1.73882,0.0740786
2.05,0,0.76059,0.132585,0.582296,9.99045e-05,0.345629,0.023831
2.1,0,1.02262,0.110359,0.567609,0.000160806,0.281562,0.0115409
2.15,0,0.52088,0.0369189,0.456249,0.00025379,0.351756,0.0224169
2.2,0,0.515741,0.16573,0.512196,0.000197163,0.203771,0.0156634
2.25,0,1.27061,0.0734956,0.325547,0.000672048,2.04168,0.0401761
2.3,0,1.98652,0.135286,0.355882,0.00102572,3.65225,0.0620642
2.35,0,0.838595,0.0644909,0.366564,0.000501684,0.735748,0.0337119
2.4,0,0.817652,0.0614283,0.213818,0.000390125,1.00864,0.018629
2.45,0,0.570146,0.0279293,0.21535,0.000526689,0.88609,0.0177772
2.5,0,0.492637,0.0316145,0.213073,0.000367601,0.624386,0.0149776
2.55,0,0.516654,0.044641,0.224456,0.000377053,0.808598,0.0170911
0,0,inf,inf,0.999997,2.50365e-06,inf,inf
0.05,0,0.545923,112.861,0.994463,2.99681e-05,0.0016533,0.182288
0.1,0,0.633948,8.55266,0.989411,3.80479e-05,0.00516193,0.113991
0.15,0,0.575668,21.4366,0.983241,8.39331e-05,0.00588362,0.167171
0.2,0,0.523948,15.8421,0.977657,7.17334e-05,0.00710269,0.108363
0.25,0,0.398596,12.8717,0.973967,0.000123261,0.00751028,0.146437
